epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,7568.57,1.07332,0.61153,1.26046,0.9368,0.82655,0.90533,0.55007,1.31651,0.6812,1.65436,0.0006734,0.0006734,0.0006734
69,7682.23,1.08666,0.61883,1.24335,0.90536,0.81796,0.88974,0.54461,1.35032,0.74432,1.68706,0.0006536,0.0006536,0.0006536
70,7782.21,1.07469,0.61205,1.26391,0.91058,0.83278,0.88932,0.53813,1.32769,0.69669,1.68259,0.0006338,0.0006338,0.0006338
71,7883.26,1.0685,0.62132,1.25502,0.90201,0.84387,0.89556,0.53473,1.35213,0.72275,1.69153,0.000614,0.000614,0.000614
72,7995.57,1.04495,0.60444,1.23612,0.90555,0.84015,0.89599,0.54301,1.33523,0.7047,1.67139,0.0005942,0.0005942,0.0005942
73,8099.76,1.06167,0.59178,1.25344,0.91035,0.81784,0.88541,0.53423,1.3376,0.72445,1.69203,0.0005744,0.0005744,0.0005744
74,8202,1.07593,0.61506,1.26034,0.88781,0.82368,0.89106,0.54375,1.32645,0.72246,1.67616,0.0005546,0.0005546,0.0005546
75,8313.47,1.029,0.57788,1.23783,0.92562,0.81413,0.89388,0.53884,1.34948,0.72439,1.70523,0.0005348,0.0005348,0.0005348
76,8419.21,1.00796,0.58075,1.23756,0.93505,0.80283,0.89268,0.5359,1.36901,0.7263,1.72303,0.000515,0.000515,0.000515
77,8535,1.02754,0.57718,1.23484,0.92534,0.79554,0.88633,0.54324,1.32065,0.67384,1.68072,0.0004952,0.0004952,0.0004952
78,8667.27,1.00918,0.57091,1.22427,0.91912,0.80263,0.88786,0.5359,1.36417,0.74652,1.71555,0.0004754,0.0004754,0.0004754
79,8801.75,1.00524,0.5804,1.23126,0.9117,0.80606,0.8841,0.54907,1.32693,0.73819,1.66428,0.0004556,0.0004556,0.0004556
80,8937.08,1.00179,0.56788,1.21548,0.90438,0.80866,0.88916,0.55342,1.32662,0.66636,1.67099,0.0004358,0.0004358,0.0004358
81,9066.97,1.00551,0.56374,1.21093,0.93603,0.81594,0.90487,0.54269,1.33807,0.70003,1.6774,0.000416,0.000416,0.000416
82,9197.13,0.99175,0.58715,1.21401,0.91308,0.82011,0.89828,0.54959,1.34017,0.68808,1.69023,0.0003962,0.0003962,0.0003962
83,9327.3,0.97908,0.55449,1.21328,0.93984,0.81303,0.90397,0.55682,1.31198,0.66882,1.66634,0.0003764,0.0003764,0.0003764
84,9458.41,0.99003,0.5565,1.22667,0.88833,0.85874,0.90591,0.55386,1.32932,0.70619,1.67476,0.0003566,0.0003566,0.0003566
85,9591.58,0.98067,0.5714,1.20334,0.93034,0.82156,0.90301,0.55388,1.31479,0.69945,1.66689,0.0003368,0.0003368,0.0003368
86,9721.38,0.99513,0.57263,1.21743,0.94403,0.83643,0.90606,0.5505,1.31791,0.69285,1.66915,0.000317,0.000317,0.000317
87,9851.31,0.95017,0.55222,1.20318,0.93498,0.82156,0.90152,0.55544,1.31945,0.66262,1.67038,0.0002972,0.0002972,0.0002972
88,9979.56,0.93308,0.53802,1.19898,0.95336,0.8358,0.91092,0.54983,1.34897,0.66209,1.69684,0.0002774,0.0002774,0.0002774
89,10084.3,0.9657,0.54165,1.18768,0.9051,0.84758,0.9048,0.54328,1.32185,0.66659,1.6916,0.0002576,0.0002576,0.0002576
90,10201.4,0.91848,0.52365,1.17504,0.91283,0.84387,0.89962,0.54791,1.30448,0.67704,1.6767,0.0002378,0.0002378,0.0002378
91,10300.8,0.9323,0.49281,1.19897,0.92191,0.83385,0.89537,0.54929,1.30548,0.65606,1.69078,0.000218,0.000218,0.000218
92,10422.8,0.922,0.47974,1.18315,0.92904,0.83271,0.89626,0.54292,1.32501,0.66657,1.7011,0.0001982,0.0001982,0.0001982
93,10528.9,0.91239,0.4668,1.18415,0.92587,0.83578,0.89997,0.54779,1.33429,0.68114,1.69888,0.0001784,0.0001784,0.0001784
94,10628.8,0.89472,0.47183,1.16023,0.90328,0.8513,0.90072,0.54346,1.35045,0.68182,1.70588,0.0001586,0.0001586,0.0001586
95,10728.9,0.87451,0.45309,1.15797,0.92956,0.83395,0.8998,0.55015,1.3183,0.67091,1.70297,0.0001388,0.0001388,0.0001388
96,10834.8,0.88013,0.45187,1.15355,0.92558,0.829,0.89359,0.54912,1.31512,0.67059,1.71061,0.000119,0.000119,0.000119
97,10940.4,0.85662,0.43833,1.13979,0.93356,0.81784,0.89715,0.54792,1.31918,0.67176,1.71419,9.92e-05,9.92e-05,9.92e-05
98,11044.6,0.86674,0.44444,1.15583,0.92482,0.82316,0.89817,0.5462,1.33008,0.67674,1.7212,7.94e-05,7.94e-05,7.94e-05
99,11146.9,0.86153,0.43893,1.15215,0.93196,0.81784,0.89924,0.54568,1.32694,0.66918,1.71413,5.96e-05,5.96e-05,5.96e-05
100,11246.9,0.86311,0.45206,1.16113,0.93198,0.81493,0.89937,0.55041,1.32548,0.66745,1.7124,3.98e-05,3.98e-05,3.98e-05
